Absinthe,,
Absente,France,12
La Grande Absente,France,18
La Fee Bohemian Czech,Republic,18
La Fee Parisienne Czech,Republic,18
Pernod Absinthe,France,25
Mansinthe,Swizerland,25
Mythe Absinthe Traditional,France,12
Amaro,,
Amaro lazzaroni,Italy,10
Amaro Montenegro,Italy,11
Amaro Ramazotti,Italy,11
Averna,Italy,11
The Bitter Truth Elixier,Germany,11
Cynar,Italy,9
Aperitif,,
Pernod,France,8.5
Pimms,England,8
Bitters,,
Aperol,Italy,10
Branca Menta,Italy,10
Campari,Italy,8
Fernet Branca,Italy,10
Kuemmerling,Germany,10
Unicum,Hungary,10
Fortified Wine,,
Stones Ginger Wine,England,8
Grappa,,
Carpene Malvotti Grappa di Prosecco,Italy,16
Francoli Del Piemonte Grappa 3yr,Italy,14
Francoli Grappa,Italy,18
Johanneshof Gewurtztraminer,New Zealand,16
Marc,,
Billecart-Salmon Marc de Champagne,France,15
Pastis,,
Henri Bardouin,France,12
Jean Cannon,France,12
Ricard,France,10
Vermouth,,
Carpano Antica Formula,Italy,15
Cinzano Extra Dry,Italy,8
Cocchi Americano,Italy,15
Dolin Blanc,France,9
Dolin Dry,France,9
Dolin Rouge,France,9
Dubonnet,France,8
Lillet Blanc,France,8.5
Lillet Rouge,France,8.5
Martini Dry,Italy,9
Martini Rosso,Italy,9
Noilly Prat,France,8
Punt e Mes,Italy,10
Rosso Antico,Italy,10
