Gold Rum,,
Angostura 1919,Trinidad,14.5
Angostura 1824,Trinidad,20
Appleton 8 yr,Jamaica,11
Appleton 12 yr,Jamaica,12
Appletons 21yr,Jamaica,25
Appleton Master Blenders Legacy,Jamaica,18
Bacardi 8,Puerto Rico,12
Banks 5 Island,Caribbean Islands,14
Cockspur 12yr,Barbados,13.5
Cadenhead Demerara 12 yr,Guyana,16
Cadenhead Trinidad 12 yr,Trinidad,25
Cruzan Single Barrel St.,Croix,13.5
Edwin Charlie Enlighten,Jamaica,POA
Edwin Charlie Transform,Jamaica,POA
Edwin Charlie Virtue,Jamaica,POA
El Dorado 15 yr,Guyana,16
El Dorado 12 yr,Guyana,14.5
El Dorado 5 yr,Guyana,11.5
Flor de Cana Centenario 18 yr,Nicaragua,17
Flor de Cana 7 yr,Nicaragua,12
Havana Club Barrel Proof,Cuba,18
Havana Club Anos 7 yr,Cuba,12
Havana Club Anejo Reserva,Cuba,10
Havana Club Maximo Ron Extra Anejo,Cuba,POA
Malteco 20 yr,Guatemala,18
Matusalem Solera 7 yr,Dominican Republic,11
Matusalem Grand Reserva 15 yr,Dominican Republic,13
Mocambo 20 yr,Mexico,13
Mt Gay XO,Barbados,12.5
Murray McDavid Guyana 14 yr,Guyana,17
Murray McDavid Jamaica 13 yr,Jamaica,17
Pussers Navy,Multi,10
Pyrat XO,Anguilla,15
Rhum Barbancourt 5 Star,Haiti,14.5
Ron Varadero 15 yr,Cuba,12
Ron Zacapa 15 yr,Guatemala,15
Ron Zacapa 23 yr,Guatemala,22
Santiago De Cuba Anniversary,Cuba,20
Stolen Gold,Trinidad,9
St James Vieux 12,Martinique,14
White Rum,,
Edwin Charlie Foundation,Jamaica,POA
Flor De Cana Extra Dry 4yr,Nicaragua,11
Briottet Rhum Agricole Blanc,France,10
Havana Club 3yr,Cuba,13.5
Havana Blanco,Cuba,9
St James Blanc,Martinique,13
Stolen White,Trinidad,9
Wray Nephew OP,Jamaica,13
Dark Rum,,
Cruzan Black Strap,St. Croix,10
Gosling Black Seal,Bermuda,14
Myers,Jamacia,10
Spiced Rum,,
Kraken,USA,13
Sailor Jerry,Caribbean,11
Homemade Mermaid Tears Rum,Homemade,10
Cachaca,,
Leblon,Brazil,14
Sagatiba Pura,Brazil,9
Sagatiba Velha,Brazil,10.5
Ypioca Cachca,Brazil,10
