"Youthful, Light - Red",,,,
9,Kumeu River Village Pinot Noir,"Auckland, New Zealand",10,50
9,La Vieille Ferme Côtes du Ventoux,"Southern Rhône, France",,69
"Medium to Full Bodied, Supple - Red",,,,
7,Jean-Luc Colombo ‘Les Abeilles’ Côtes du Rhône,"Southern Rhône, France",11,54
8,Churton Pinot Noir,"Marlborough, New Zealand",17.5,85
6,Antinori Chianti Classico Riserva,"Tuscany, Italy",,98
9,Escarpment Pinot Noir,"Martinborough, New Zealand",,128
"Fuller-Bodied, Rich & Soft - Red",,,,
8,Alluviale Rouge,"Hawkes Bay, New Zealand",13.5,69
8,Tormaresca Neprica Puglia,"Puglia, Italy",,52
9,Earthworks Shiraz,"Barossa Valley, Australia",12,60
"Full Bodied, Firm, High Extract - Red",,,,
7,Wyndham Founders Reserve Shiraz,"Hunter Valley, Australia",10,52
7,St Hugo Cabernet Sauvignon,"Coonawarra, Australia",,105
7,Tenuta di Biserno ‘Il Pino di Biserno’,"Tuscany, Italy",,240
Sweet - Dessert,,,,
9,Huia Botrytis Riesling (375ml),"Marlborough, New Zealand",16,68
